term,count
Analytics,165
Interpersonal and collaboration skills,84
Communication and presentation skills,83
Business awareness,56
English,44
SQL/NoSQL,36
Project management,32
Python,31
German,29
Excel,28
Reporting experience,27
Problem solving,25
Machine learning skills,24
Attention to detail,22
Power BI,19
Cloud,16
Compliance,15
French,14
Flexible,14
Dashboard design,13
R,13
Agile,12
API skills,12
Azure,10
Tableu,10
Data management,10
Research experience,10
Curiosity,9
Data quality management,9
Decision making experience,8
Automation experience,8
Creativity,6
Data warehouse experience,6
SAP,6
Stakeholder management,6
Tren analysis,5
Consulting experience,5
KPIs,5
Leadership,5
Italian,4
Logistics,4
AWS,3
Proven reliability,3
VBA,2
